Avg. Income,Avg. House Age,Avg. Number of Bedrooms,Avg. Number of Bathrooms,Area Population,Price,SqFt
66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913,2813.0922393
75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551,3085.2299402999997
65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764,2611.944006
66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932,2188.5463937
69284.25964,5.347447091,7.173425885,3.45,40282.72428,1169944.248,2753.0277655
70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953,2116.3784086
74218.48902,8.069721867,6.506374302,4.37,46770.66097,1783534.839,2788.9122906000002
63441.71465,6.471673727,7.064811136,3.22,48061.75267,1302933.248,2605.4433408
57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612,2905.2136247999997
81543.77732,5.503923196,5.897052836,2.14,9816.300885,954114.544,2409.1158508
78633.97376,5.465393231,7.531143012,3.24,43728.80349,1555320.5,2691.3429036
52202.85372,4.869306181,4.414380866,2.23,42165.81246,404976.3659,1990.3142598
67980.38878,5.562938814,6.159705222,2.44,25909.0792,1073183.76,2319.9115666
78568.44916,5.47573732,6.291600796,2.29,41016.64709,1422195.879,2351.4802388
55472.65483,4.822147136,5.855972309,3.2,15353.95643,340605.2113,2238.7916927
67579.23479,5.973219004,7.754357545,6.32,21762.94969,1170959.526,3196.3072635000003
61456.1507,6.882954326,6.417572622,4.19,30821.41209,942838.1647,2524.2717866000003
60815.39039,7.17012853,7.984335122,4.11,31233.64935,1401613.92,3297.3005366
51217.18116,5.384841407,8.776160034,3.41,47089.47508,1175504.486,3235.8480102
63027.67471,4.855968121,5.580905937,2.3,35991.72064,608794.2467,2292.2717811
62484.8553,6.496651466,7.322709774,5.13,26882.65179,946943.0362,3187.8129322
73923.46627,7.005505785,7.135063347,6.04,58745.31203,1819900.637,3104.5190041
79737.60976,7.315957927,6.611096005,2.17,28307.31433,1463130.273,2530.3288015
63890.47157,4.972306568,7.916386397,5.49,43416.49782,1252391.18,3063.9159191
67310.03695,7.193792989,7.760732555,5.28,43310.61243,1714445.175,2983.2197665
73145.73022,4.096517243,7.254217433,3.18,49463.37888,1291759.393,2728.2652299
86924.35877,6.832939699,7.738295553,6.32,28719.41089,1809154.289,3253.4886659000003
74384.10563,7.411486571,5.164865476,2.3,17117.44367,1200539.361,2206.4596428
67477.78818,6.623528293,7.91617166,5.1,29763.92535,1300265.21,3251.851498
71202.95692,4.318869133,6.634954066,4.37,34207.39721,997448.7281,2559.4862198
85845.3178,6.743652961,9.468766369,3.46,46477.67868,2152959.409,3333.6299107000004
72138.87048,7.163640935,8.485778263,5.45,35799.63827,1629983.847,3251.7334789
44806.00516,4.494570528,4.725325117,3.1,57390.89007,497579.4466,2042.5975351
67504.17846,5.329798509,5.894411949,4.36,37441.12054,890112.5493,2596.3235847
74706.10053,5.003327764,5.661064127,2.05,39680.60932,1064685.699,2101.3192381
68898.34591,6.787648529,7.871352644,6.39,39515.57156,1530124.016,3271.4057932
58118.01816,8.137214471,5.650900286,4.36,35598.39044,1246246.828,2590.2700858
77643.28309,6.070115922,5.381038359,4.45,35512.25505,1240754.932,2372.3115077
67769.82559,8.074693668,6.761631408,4.22,33254.60341,1760734.69,2584.4894224
74411.05989,5.534627544,7.210123361,6.44,43537.50295,1393746.76,3133.0370083
73101.0788,4.104129923,8.920333221,4.35,29497.97129,1172385.898,3311.0999663
58708.41716,5.083861036,6.262825884,4.07,15969.92604,483986.109,2515.8477652
63876.05991,7.080219326,7.187432975,3.37,38052.87644,1388530.157,2849.2298925
68343.15409,6.39244379,8.425112895,6.2,40653.87007,1721739.384,3251.5338685
73064.97996,5.994062799,7.204368895,6.19,30699.33971,1276448.792,3097.3106685
67367.26808,6.774710809,6.690894899,2.49,32547.27253,1161742.677,2610.2684697
66547.18175,6.350672042,5.305000412,2.04,16741.96499,786407.9451,2292.5001236
73313.54538,6.414723236,8.492901229,4.46,37808.99667,1604920.973,3451.8703686999997
47681.36173,6.890508224,7.788267986,5.13,50908.97891,1230149.137,3231.4803958
67910.94913,6.445851907,6.675937268,4.32,31379.78297,1051644.554,2926.7811804000003
69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614,3164.5173412999998
67946.71468,5.403175673,5.671136343,3.21,35197.94257,1043483.915,2136.3409029
90975.11327,4.740683035,8.320351986,6.45,44426.21365,1544379.748,3586.1055958
61885.54644,5.405265969,6.91419577,3.22,48726.9513,1352135.967,2537.258731
69401.84722,7.042354995,8.097044285,3.44,29293.07405,1505727.431,3252.1132855
72969.12127,6.188575726,8.076943604,4.2,31755.72136,1416965.979,3121.0830812
75582.45976,5.506473429,6.774986419,4.33,31946.30387,1046721.976,2627.4959257
56241.22677,5.623087016,6.818670754,2.18,32745.36812,939040.0036,2714.6012262000004
79412.83547,6.087360169,7.481321112,3.26,17568.73376,1383031.332,2900.3963336
79618.23685,4.566166101,6.669888411,3.49,29636.50711,1072503.238,2689.9665232999996
67019.07405,6.487943167,7.3313301,6.26,24997.10871,1134397.758,2976.39903
56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508,2224.6019334
57077.5803,5.775467041,6.952026674,4.27,33393.9166,991892.3175,2999.6080022
75954.81825,4.289916281,7.418750603,5.04,34467.7587,1057252.583,3050.6251809
52575.81517,7.133719417,7.173698882,4.06,41828.57962,1237224.859,2888.1096646
63312.80567,6.139115452,8.199615241,4.41,43230.35216,1442632.541,3236.8845723
82526.9621,6.453073406,7.748248953,4.46,43947.68026,1877402.32,3012.4746859
73204.94213,6.640915863,7.311912321,6.4,35090.50081,1394518.415,3103.5736963
56357.19314,5.707903109,5.240300887,3.25,38061.9983,953939.3299,2025.0902661
71316.62465,7.107767687,7.088992691,5.33,21651.69941,1219778.034,2794.6978073
75046.8482,4.983084629,8.877240042,3.0,32468.03115,1287325.382,3075.1720126
84474.16006,6.970854746,5.935909326,2.47,38677.81515,1739893.555,2286.7727978000003
68162.68393,6.962206716,6.69735801,3.07,31843.87634,1213382.223,2742.2074030000003
62784.33295,7.572350215,4.652717554,3.31,35122.38947,1007478.748,2012.8152662
67009.81567,6.849769937,7.610720856,3.22,39737.12261,1528756.126,2947.2162568000003
67437.25036,6.767363237,6.703917223,2.05,29356.22337,1182459.772,2401.1751669
65967.76931,6.847724976,7.777279444,3.14,35799.96255,1474546.762,3030.1838332
42816.30589,7.603999923,7.04524851,4.18,47457.66221,1078016.94,2696.574553
83347.6697,5.468158427,5.475252653,3.14,48226.71893,1453381.624,2225.5757959000002
81699.88,5.47980183,6.476007341,4.41,39527.04856,1495012.965,2527.8022023
56143.78866,4.580122446,6.668979774,4.04,45084.03666,714148.4148,2565.6939322
59513.83492,4.885131771,5.57471435,3.18,44162.27921,894292.0474,2223.4143050000002
78379.41224,5.985697151,5.681833507,3.2,31357.38821,1159841.831,2407.5500521000004
70877.37574,6.766877154,7.213659075,5.07,36033.42685,1195986.299,2798.0977225
61526.97445,6.593962539,9.180401429,6.11,27307.94803,1381430.63,3572.1204287
65316.99602,7.414875231,6.733084867,2.0,55799.49748,1534889.853,2362.9254601
76268.81833,6.942797867,6.147907596,3.17,38649.85239,1494125.33,2600.3722787999995
48531.36423,6.863184039,8.517401059,5.3,39731.15056,1356146.261,3470.2203177
82906.6548,5.901451656,5.767366136,4.26,38820.48194,1454943.074,2586.2098408
63117.84405,4.940396705,5.636779395,2.31,43091.84514,774118.1878,2149.0338185
75860.86115,3.69089057,4.788380207,3.48,41003.88008,889113.2389,2231.5140621
68844.76425,4.860453,6.916808181,3.29,48392.49736,1211102.211,2734.0424543
52446.26686,5.694610808,7.429639244,3.11,32934.5532,658646.1847,2828.8917732
69342.70684,5.804686752,7.805903702,3.36,37082.37422,1400104.871,3001.7711106
55932.05268,7.218309145,6.020201205,4.0,42488.31,1262017.792,2690.0603615
53306.92214,4.632267718,6.194794325,2.15,39063.33871,553077.2126,2549.4382975
56976.5464,6.061212241,7.259286709,3.08,46375.50249,1203247.89,2867.7860127
51296.48863,6.155259764,7.831766476,6.18,32078.9068,1115323.015,3187.5299428000003
63995.00489,7.59753322,7.090050637,5.25,24748.26827,1301881.417,2867.0151911
71915.14669,6.279753854,5.521216371,4.47,27714.29366,1006687.387,2435.3649113
62137.59721,5.440725043,7.235191288,5.21,19045.61951,749383.0726,3049.5573864000003
78050.96983,5.234044768,6.290305888,4.15,27789.74852,1075596.587,2760.0917664
67371.42086,5.333820712,6.624951289,4.37,24797.76476,739870.7936,2721.4853867
59362.76638,7.482630242,8.003006746,3.49,44723.35373,1442945.145,2985.9020238000003
57003.10964,7.01058346,6.356258719,3.14,29594.69337,828497.0671,2637.8776157
68989.31221,6.075426018,7.879588245,6.37,32629.60383,1373290.861,3264.8764735
70969.9021,4.901817799,6.396268006,3.18,24833.64615,925566.3313,2560.8804018
82251.65301,7.741091334,7.636653827,6.49,18408.79864,1552536.764,3345.9961481
71306.4573,5.773717163,6.68823017,2.04,43284.39716,1335904.501,2543.469051
70921.56857,5.665185385,6.375371505,3.28,29390.21727,960808.2911,2511.6114515
70739.4601,6.710699576,7.166501646,6.28,35148.66775,1405933.019,3028.9504938
58097.84182,6.386347996,6.144038119,3.04,19903.00008,619087.6936,2561.2114357
51273.50885,7.032317226,6.888205629,2.09,53811.89491,1329273.228,2748.4616886999997
76326.59232,5.02469487,4.936329009,3.44,42779.8313,1261843.844,2083.8987027
63584.04588,5.832827571,6.029160867,4.29,46340.18858,1175781.418,2432.7482601
86340.28729,4.930051,6.183440077,3.01,35630.56045,1437053.557,2488.0320231
79471.23882,5.867269778,8.197289421,6.21,36616.16883,1594415.226,3359.1868263
55879.50379,6.407946258,5.370386614,2.07,37360.06356,931357.9954,2030.1159842
40503.54133,6.881778623,6.566175293,3.14,45979.47754,798639.6542,2700.8525879
83394.40783,5.601486668,5.905024344,2.08,30487.52462,1451739.625,2130.5073032
64501.22645,6.001641691,7.293476754,5.33,43869.30998,1278991.689,3088.0430262
59569.53734,6.279536891,7.325379539,4.24,31294.65246,885920.5532,3015.6138617
69280.31627,6.861548028,6.923618932,4.33,40290.91149,1425632.542,2995.0856796
66342.48968,5.857266082,6.94910892,3.06,11792.81516,901881.7427,2876.732676
73367.04599,6.173290661,9.054709888,5.25,23684.78795,1521730.791,3453.4129663999997
57122.22484,5.70765003,5.929733805,2.4,41972.77154,716771.0057,2218.9201414999998
61978.84805,7.912276047,8.437966416,5.37,56957.18775,1696717.107,3280.3899248000002
54299.96882,6.635899749,6.851535828,2.49,39512.66371,819598.0078,2484.4607484000003
71424.40601,5.59893322,8.522538378,3.49,37242.56159,1584213.957,3191.7615134000002
57353.15436,8.07544792,5.678555483,4.44,16906.42172,798892.515,2359.5666449
44731.1098,4.188658329,8.942797164,5.12,39633.47304,601973.0017,3295.8391492
76175.49393,4.524140652,9.524973612,4.28,30760.99496,1456486.293,3514.4920836
66574.70999,5.550264729,6.844150153,2.17,69575.44946,1702406.039,2589.2450459
91731.15438,5.184810712,7.94387972,6.3,33102.09542,1566471.008,3166.163916
75487.0326,6.453931678,7.737095684,4.02,41105.39063,1592210.176,3165.1287052
58088.43813,6.017831001,5.790005274,4.21,51925.41161,937628.3467,2481.0015822
76319.2186,6.873130198,6.294054951,3.45,48026.30837,1558547.578,2557.2164853
60575.16244,5.907565592,6.964616002,2.29,32158.9679,1156329.274,2802.3848006
69607.13367,7.077680826,7.833081192,3.35,34609.04022,1514349.692,2909.9243576
67056.84048,5.222168522,7.163517523,5.25,25134.68148,1039107.326,2903.0552569
60640.93188,5.165921529,5.355113624,2.32,43119.54066,809089.6719,1990.5340872000002
69031.90888,5.779976246,5.501755138,3.23,15660.40301,675536.3915,2244.5265414
80356.20939,4.660417824,9.710216896,5.02,16215.41728,1373589.804,3732.0650688
60081.17662,6.768523696,8.204552838,4.3,60195.74627,1690091.019,3150.3658514
61881.47931,6.519463053,7.114083652,5.38,35597.37289,1253370.149,2969.2250956
59590.96529,6.891731041,5.736029404,2.03,24153.88252,774073.5619,2269.8088212000002
89831.31929,5.20196372,7.719652764,6.37,45335.36028,1741959.834,3375.8958292
72175.2835,7.421738946,6.828247305,2.09,50305.79541,1705762.788,2559.4741915
67589.04884,6.21484263,6.060884656,2.34,33203.38392,1071109.917,2335.2653968
77300.03144,5.260974726,6.936548024,4.49,29499.04095,1118047.991,2751.9644072
65382.88832,5.39681918,7.648386114,6.08,41723.05474,1165253.033,3256.5158342
71145.2127,6.152109975,6.765832563,2.31,35642.53034,1280910.19,2653.7497689
61053.038,5.787890692,5.687062576,2.02,40675.77383,841122.8824,2287.1187728
65125.94787,5.928483443,7.057757992,4.19,37642.78527,1228810.745,2960.3273976
51949.2957,6.209803037,8.051118256,5.28,35336.06305,1086072.071,3414.3354768000004
75897.98884,5.316933287,6.768229399,3.33,34162.67061,1204372.295,2560.4688197
71468.3505,6.158043453,6.361238405,3.35,43269.03337,1345004.12,2540.3715215
53287.99207,5.755609227,7.162322376,3.32,45152.01427,1116902.345,2974.6967128
61503.0406,5.13081313,7.015317326,3.12,37650.86971,822431.7303,2755.5951978
68896.04856,6.38632518,8.365074594,4.47,28394.60978,1360623.694,3199.5223782
91159.41833,6.536045428,7.373850919,3.01,54861.0911,2298379.487,2709.1552757
63375.34848,6.67234006,7.883780977,3.41,45633.19224,1400498.268,3006.1342931
59695.57147,5.44538285,6.032795265,2.04,20702.80267,566848.7321,2236.8385795
63183.88974,5.570561937,7.541807496,5.08,58691.20066,1367586.278,3056.5422488
61177.80813,6.998928282,7.088385883,5.13,26396.29111,1113373.52,3064.5157649
58642.31122,5.209923093,6.275371125,3.42,35131.57815,721974.5515,2672.6113375000004
53112.27806,5.138651815,6.325363471,4.25,40367.38387,685503.9903,2680.6090413
40366.61629,4.902939589,7.6171181,5.07,16349.36539,152071.8747,3039.13543
62207.47581,7.297532823,7.002864274,5.38,34317.53831,1280431.574,2989.8592822
57477.95076,5.405444821,7.207172822,6.35,23649.96887,568703.1838,3242.1518466
55630.48896,6.283122836,8.933119985,6.0,38943.09599,1200764.844,3525.9359955
72399.30556,6.740676312,7.552269769,6.15,41662.00007,1607161.637,3127.6809307
89868.89193,4.504274579,7.234479887,5.45,30101.72457,1421715.415,3166.3439661
59801.49103,4.210462758,4.954387464,2.03,33534.9264,311111.2006,1987.3162392
61957.1543,7.841080502,7.472966963,4.19,38448.49148,1338044.383,3067.8900889
71123.43282,6.685810937,6.16923837,3.43,44020.1441,1417870.983,2420.771511
55202.70547,4.375933244,8.259044318,3.4,28424.95165,796389.438,2955.7132954000003
79298.12201,7.188208135,5.336841156,3.44,15753.26664,1310207.133,2382.0523468
65070.56701,7.143558507,5.579766055,4.3,24852.56515,994897.7278,2562.9298165
68494.98255,7.230364893,7.265462684,5.46,13998.57121,1202987.829,2953.6388052
55702.20538,5.551957132,5.648555397,3.08,40087.79561,768751.9005,2368.5666191
57233.60849,7.893834161,6.036621215,2.27,37374.91924,1211655.305,2287.9863645
85313.88545,6.033157792,6.633757595,4.21,23974.43557,1540418.222,2808.1272785
60224.65171,4.675940133,5.428846667,3.23,42182.86211,712228.4243,2149.6540001000003
73873.81919,6.789870886,6.630909086,3.17,33336.32735,1525533.407,2668.2727258
63149.48523,7.156294433,5.518835024,2.04,37578.84687,1034218.402,2210.6505072
58593.79404,4.662980906,6.333616932,2.04,39287.5279,874103.6606,2347.0850796
73839.87242,6.446181952,8.274063584,4.19,47602.51021,1912825.285,3346.2190752
75984.83111,6.725721311,7.887775836,4.31,42248.68586,1754770.59,3008.3327508
82145.36942,6.54096795,6.876150329,4.23,25736.09605,1340066.913,2644.8450987
69017.1828,5.777106148,5.783612779,3.11,55830.75284,1446756.863,2514.0838337
75429.17898,6.818759161,7.570447111,5.48,36769.24968,1592768.242,2920.1341333
69513.53892,4.122901533,7.641107312,6.08,14054.05343,660364.9813,3384.3321935999998
57782.41708,5.159300978,6.332626733,2.46,33426.84938,861321.5807,2548.7880199
74372.13845,6.56237959,8.184510518,6.35,34321.96015,1648246.774,3443.3531554
63522.12193,5.538042849,6.952195766,2.04,31995.52529,977135.8857,2528.6587298
61193.71483,7.647150882,9.086807717,3.21,33196.05984,1591934.19,3183.0423150999995
60316.79073,4.308730208,5.564352875,4.12,33831.89363,695386.331,2340.3058625000003
58469.9122,5.408899965,4.807387458,2.26,33547.98482,568977.0728,1776.2162374
75179.90299,4.595920956,7.201635799,5.13,23978.0933,935590.8043,3005.4907397
56186.96329,3.992027946,8.960742515,5.2,41855.65474,984311.7745,3406.2227545
73225.0663,5.933498536,6.868603895,2.3,61830.53972,1796245.808,2536.5811685
74338.92771,5.084714868,5.186852796,4.07,18057.17178,720080.2321,2366.0558388
52188.11873,5.636892091,5.807401479,4.03,42495.75468,783808.4025,2452.2204437
83311.10394,6.690551405,8.297556745,3.16,30386.36631,1598615.974,3035.2670235
72288.6752,6.599434697,7.979877824,5.11,39146.9205,1564125.238,3155.9633472
54866.21569,6.986763275,7.285434147,3.46,35192.84403,929480.6299,2684.6302441000003
85759.65776,4.789357418,8.965705366,6.22,25897.75802,1414495.343,3530.7116098
59453.34204,6.29111354,7.482571479,6.08,29697.64481,837668.1026,3112.7714437
69878.7742,7.218330987,6.249192235,4.02,26814.17475,1197515.454,2491.7576704999997
59243.29763,6.729520552,7.058764828,4.26,51405.35248,1232004.83,2717.6294484
57853.3302,6.500094306,7.316551003,4.36,47688.2266,1285933.408,2842.9653009
66643.31463,6.392834115,7.698007536,4.41,30971.15711,1361521.983,2953.4022608
69248.29959,5.958735587,5.652694477,2.21,35990.10339,1090826.374,2355.8083431
75129.72116,6.287836931,7.447318296,3.37,41620.2893,1475319.699,2924.1954888
76209.99531,7.009045648,5.464338971,4.22,22721.6494,1066659.383,2387.3016913
69342.37657,6.069486987,8.018121333,3.43,21641.97286,1117432.98,2959.4363998999997
77630.95508,6.80962742,6.829667441,2.29,31739.88912,1420283.559,2475.9002323
68929.15807,7.590878456,6.891969493,3.24,172.6106863,840272.8649,2643.5908479
70990.80491,6.014814127,4.651974294,2.46,30904.25303,1024907.94,2089.5922882000004
55860.68084,7.751794757,9.02450267,5.12,40335.22028,1494241.226,3702.350801
56380.9884,5.706260589,6.650904529,4.37,43994.24411,1125880.487,2897.2713587
64306.33882,4.806617647,7.879677057,4.28,30762.36021,1082455.018,3228.9031171
76547.9567,6.50322147,6.974804487,3.08,40564.64489,1554634.995,2693.4413461
57101.71705,5.493161996,7.650205974,6.09,41104.46662,1011365.365,3313.0617922
76192.65604,7.303749826,7.337589917,6.33,21245.84162,1432756.517,3096.2769751
79585.55223,5.778524695,8.430787826,4.32,31773.3374,1612717.553,3268.2363477999997
70759.8558,6.367973326,5.493294013,4.2,25981.831,973299.8618,2335.9882039
76907.23816,5.205508259,6.462700239,4.21,21658.40932,679228.9927,2619.8100716999998
64744.94244,5.900247576,8.467599729,6.03,28880.01759,1270999.939,3310.2799187
51976.02393,5.354922556,7.375559651,4.42,36360.16875,910211.0189,3042.6678953
61252.63767,5.189911336,7.191572627,4.43,40890.26603,1026271.796,3097.4717881
58841.14292,7.754160967,6.916338174,4.05,39555.07059,1496729.536,2855.9014521999998
79112.64141,6.357250993,7.8515296,5.27,33771.74049,1490539.058,3285.45888
76056.28911,6.480979871,8.245224408,5.4,28470.70147,1491838.494,3496.5673224
52399.64822,6.804016971,8.971111959,3.11,18092.13036,996771.2482,3493.3335877
77551.6278,5.535920946,4.679134254,2.03,35834.493,1064854.309,1840.7402762
64160.81595,5.67760881,6.534959524,4.05,32339.00628,985749.7874,2659.4878572
71167.03414,7.328943583,9.442325018,4.35,35174.87134,1952622.402,3494.6975054
84963.66341,7.068466766,6.207145314,3.02,40447.01075,1754969.162,2296.1435942
